Format Version,1.24,Take Name,Take 2024-10-24 04.26.46 PM,Take Notes,,Capture Frame Rate,180.000000,Export Frame Rate,180.000000,Capture Start Time,2024-10-24 04.26.47.070 PM,Capture Start Frame,161615,Total Frames in Take,1801,Total Exported Frames,1801,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014
,ID,"CE30C20AAF924411EF","CE30C20AAF924411EF","CE30C20AAF924411EF"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
132,0.733333,147.095886,67.764183,90.315872
133,0.738889,147.094299,67.764862,90.311531
134,0.744444,147.093018,67.766716,90.312218
135,0.750000,147.093872,67.763878,90.312798
136,0.755556,147.093140,67.764709,90.314934
137,0.761111,147.094147,67.762390,90.313873
138,0.766667,147.093567,67.761665,90.313072
139,0.772222,147.093338,67.763542,90.314194
140,0.777778,147.095978,67.765549,90.317299
141,0.783333,147.091553,67.764381,90.312912
142,0.788889,147.094971,67.765350,90.313332
143,0.794444,147.095749,67.763161,90.315338
144,0.800000,147.096909,67.763542,90.317810
145,0.805556,147.100952,67.761444,90.316284
146,0.811111,147.095383,67.764412,90.314125
147,0.816667,147.094757,67.764511,90.313301
148,0.822222,147.093140,67.763634,90.314568
149,0.827778,147.094452,67.763397,90.312210
150,0.833333,147.094681,67.760277,90.315804
151,0.838889,147.094162,67.764397,90.315643
152,0.844444,147.096359,67.763702,90.314186
153,0.850000,147.096756,67.763603,90.315804
154,0.855556,147.096313,67.763580,90.312744
155,0.861111,147.095276,67.762146,90.313713
156,0.866667,147.095688,67.762192,90.312996
157,0.872222,147.096786,67.761909,90.315804
158,0.877778,147.096573,67.764946,90.313843
159,0.883333,147.093521,67.760483,90.314491
160,0.888889,147.091675,67.762489,90.316010
161,0.894444,147.095734,67.760307,90.315605
162,0.900000,147.096054,67.762848,90.315392
163,0.905556,147.094986,67.760452,90.317429
164,0.911111,147.096863,67.761719,90.317062
165,0.916667,147.096146,67.763962,90.312790
166,0.922222,147.095352,67.758217,90.312225
167,0.927778,147.091522,67.759560,90.313797
168,0.933333,147.092529,67.762360,90.316330
169,0.938889,147.094574,67.760208,90.316597
170,0.944444,147.096924,67.761780,90.312233
171,0.950000,147.095673,67.761902,90.312378
172,0.955556,147.091599,67.759010,90.314857
173,0.961111,147.095993,67.760002,90.318520
174,0.966667,147.095535,67.762161,90.311554
175,0.972222,147.094238,67.760002,90.314026
176,0.977778,147.096222,67.760139,90.313431
177,0.983333,147.093246,67.761337,90.311539
178,0.988889,147.095200,67.759430,90.311745
179,0.994444,147.096390,67.759834,90.312103
180,1.000000,147.096329,67.757805,90.312691
181,1.005556,147.096832,67.758820,90.312050
182,1.011111,147.095291,67.758957,90.313210
183,1.016667,147.098679,67.757996,90.314369
184,1.022222,147.093506,67.759567,90.313286
185,1.027778,147.094635,67.758171,90.316811
186,1.033333,147.095047,67.759041,90.316513
187,1.038889,147.095108,67.758698,90.311501
188,1.044444,147.095673,67.757690,90.315155
189,1.050000,147.097183,67.756142,90.315460
190,1.055556,147.097504,67.758446,90.314125
191,1.061111,147.096725,67.759277,90.314400
192,1.066667,147.096542,67.761307,90.315514
193,1.072222,147.095596,67.762405,90.313271
194,1.077778,147.096573,67.763359,90.315132
195,1.083333,147.099030,67.763031,90.314392
196,1.088889,147.094406,67.764519,90.312927
197,1.094444,147.095993,67.764610,90.309662
198,1.100000,147.094223,67.765709,90.314415
199,1.105556,147.095795,67.765587,90.313377
200,1.111111,147.100266,67.766846,90.315437
201,1.116667,147.096725,67.766304,90.315163
202,1.122222,147.095352,67.767265,90.317413
203,1.127778,147.095230,67.767014,90.317528
204,1.133333,147.094894,67.765968,90.315163
205,1.138889,147.095993,67.768883,90.314781
206,1.144444,147.094696,67.770790,90.314888
207,1.150000,147.096039,67.769928,90.315857
208,1.155556,147.097900,67.767311,90.314095
209,1.161111,147.098160,67.769402,90.315933
210,1.166667,147.102966,67.767372,90.320290
211,1.172222,147.095917,67.772400,90.313393
212,1.177778,147.098312,67.771111,90.316772
213,1.183333,147.100220,67.770615,90.316551
214,1.188889,147.100662,67.770432,90.318275
215,1.194444,147.097687,67.772873,90.317657
216,1.200000,147.097763,67.772987,90.317825
217,1.205556,147.102127,67.769005,90.315628
218,1.211111,147.101212,67.772072,90.314049
219,1.216667,147.099701,67.772324,90.314224
220,1.222222,147.100662,67.769913,90.316315
221,1.227778,147.098953,67.770737,90.316238
222,1.233333,147.097076,67.770744,90.314087
223,1.238889,147.098145,67.768631,90.318962
224,1.244444,147.098969,67.766960,90.316452
225,1.250000,147.098892,67.770500,90.316818
226,1.255556,147.103516,67.766998,90.319244
227,1.261111,147.119873,67.778130,90.291954
228,1.266667,147.102219,67.771255,90.309219
229,1.272222,147.097610,67.763611,90.322021
230,1.277778,147.098145,67.763916,90.314873
231,1.283333,147.098434,67.765465,90.314255
232,1.288889,147.100250,67.765587,90.315063
233,1.294444,147.097412,67.763802,90.311539
234,1.300000,147.098007,67.767487,90.312912
235,1.305556,147.098709,67.761749,90.315376
236,1.311111,147.099655,67.761749,90.313866
237,1.316667,147.100037,67.762932,90.313286
238,1.322222,147.097183,67.765038,90.313629
239,1.327778,147.100250,67.762947,90.316078
240,1.333333,147.102966,67.763008,90.312561
241,1.338889,147.102097,67.762688,90.316826
242,1.344444,147.097488,67.761246,90.314499
243,1.350000,147.100388,67.761391,90.318413
244,1.355556,147.094574,67.762535,90.313736
245,1.361111,147.100784,67.762535,90.312805
246,1.366667,147.100479,67.764015,90.316406
247,1.372222,147.098938,67.762772,90.313614
248,1.377778,147.103088,67.764008,90.316986
249,1.383333,147.098679,67.762947,90.313896
250,1.388889,147.100922,67.762619,90.315605
251,1.394444,147.098328,67.761795,90.311623
252,1.400000,147.099213,67.760887,90.316345
253,1.405556,147.097809,67.760399,90.315628
254,1.411111,147.099899,67.763000,90.313332
255,1.416667,147.099838,67.760635,90.313362
256,1.422222,147.102203,67.764343,90.309937
257,1.427778,147.101242,67.761002,90.314499
258,1.433333,147.097900,67.761993,90.314400
259,1.438889,147.099716,67.763069,90.316017
260,1.444444,147.097717,67.760666,90.316971
261,1.450000,147.094589,67.761475,90.318336
262,1.455556,147.096268,67.764908,90.313118
263,1.461111,147.097534,67.761993,90.314957
264,1.466667,147.096909,67.764023,90.312645
265,1.472222,147.095261,67.764938,90.313019
266,1.477778,147.095856,67.761086,90.313377
267,1.483333,147.095764,67.760529,90.312767
268,1.488889,147.094650,67.764114,90.313850
269,1.494444,147.090973,67.763039,90.312668
270,1.500000,147.096832,67.761932,90.314835
271,1.505556,147.094330,67.763718,90.309769
272,1.511111,147.092606,67.763420,90.310814
273,1.516667,147.093140,67.760452,90.311844
274,1.522222,147.095337,67.762482,90.312065
275,1.527778,147.095993,67.763939,90.313309
276,1.533333,147.096466,67.762268,90.311241
277,1.538889,147.094101,67.761642,90.314568
278,1.544444,147.092529,67.764381,90.312569
279,1.550000,147.097382,67.761581,90.312119
280,1.555556,147.093658,67.764122,90.309471
281,1.561111,147.092987,67.763046,90.312889
282,1.566667,147.093765,67.763748,90.310791
283,1.572222,147.092667,67.762016,90.313744
284,1.577778,147.096191,67.766022,90.308037
285,1.583333,147.096329,67.764473,90.313271
286,1.588889,147.094772,67.761963,90.313103
287,1.594444,147.097000,67.760307,90.313744
288,1.600000,147.098297,67.760887,90.316963
289,1.605556,147.094650,67.762413,90.314072
290,1.611111,147.095657,67.763268,90.317368
291,1.616667,147.098892,67.764740,90.312706
292,1.622222,147.097839,67.763718,90.315590
293,1.627778,147.100128,67.760971,90.316551
294,1.633333,147.096085,67.762856,90.317482
295,1.638889,147.095245,67.760750,90.316315
296,1.644444,147.098404,67.761223,90.315292
297,1.650000,147.092606,67.762703,90.315590
298,1.655556,147.093765,67.763451,90.314690
299,1.661111,147.099472,67.762749,90.314072
300,1.666667,147.096176,67.761871,90.312866
301,1.672222,147.097382,67.761368,90.316391
302,1.677778,147.096207,67.761162,90.315811
303,1.683333,147.095688,67.764839,90.317192
304,1.688889,147.097412,67.762726,90.318054
305,1.694444,147.098022,67.760262,90.316711
306,1.700000,147.097122,67.765495,90.315430
307,1.705556,147.098404,67.763924,90.314331
308,1.711111,147.094574,67.763191,90.316261
309,1.716667,147.094238,67.764771,90.311264
310,1.722222,147.094330,67.763382,90.315285
311,1.727778,147.096725,67.763077,90.313751
312,1.733333,147.095505,67.763306,90.312317
313,1.738889,147.092422,67.766808,90.312973
314,1.744444,147.096024,67.763863,90.315758
315,1.750000,147.095413,67.764236,90.316696
316,1.755556,147.094803,67.765717,90.316910
317,1.761111,147.095291,67.765060,90.311363
318,1.766667,147.094559,67.762451,90.315147
